id,task_name,base_effort,min,max,dependencies,resource
1,,0.0,0,0,[1],"8, 7, 6, 5, 4"
2,V.FRM.DSItemName,0.0,0,0,[1],"SA/SD, MA, SDU, PDU"
3,#REF!,0.0,0,0,[1],"ES | Spain, NZ | New Zealand, IN | India, PT | Portugal, TR | Turkey, SE | Sweden, IT | Italy, AE | United Arab Emirates"
4,,0.0,0,0,[1],"Program Director, PMO, PMO Admin, Rollout Manager, Defect Manager/Triage, Factory / Delivery Lead, Release / Config Manager, Non-functional Lead, Solution Architect - DA, E2E Architecture Lead, E2E  SA Order Capture UI, Solution Architect - Integration, E2E Architect - Order & Fulfillment Management, E2E Architect - Revenue Management & Billing, E2E Rel Assurance SA, Product Manager, DXP SA, DXP developer/IE, EOC SA, EOC developer/IE, ECM SA, ECM developer/IE, EC SA, EC developer/IE, EM SA, EM developer/IE, EB SA, EB developer/IE, BEL SA, BEL developer/IE, CAF SA, CAF IE, CBEV Software Developer, CBEV Solution Integrator, CBEV Solution Architect, Solution Architect (Scrum Lead), ST Test Engineer, ST Automation Test Engineer, RME or RTE, DM CPM, DM Lead / E2E SA, DM Developer, DM Domain SA, DM Software SA, DBA, DevOps SME, DevOps Tool Admin, Infra or SW Integration SA, Infra System Integrator, SW SME, NFR SA, NFR SI, Performance Lead, Performance SA, Perf Dev/Tester, Test lead, SIT Manager, SIT Manual Tester, SIT Automation Tester, UAT Test Manager, UAT Tester, Agile Transformation Lead, Agile Coach, Security Master, Pre-Assesment Team, Other Support, LCM Support Team, Prime-Contract Mgr, Prime-CPM, Prime-Delivery Lead, Prime-EA Lead, Prime-Presales Soln Mgt, Prime-E2E SA Pipeline CICD, Prime-E2E SA CRM, Prime-Business Consultant, Prime-Infra NFR, Prime-Others"
6,,0.0,0,0,[1],"VAR.DXPSASD, VAR.DXPSASDU, VAR.DXPDeveloperSD, VAR.DXPDeveloperSDU, VAR.EOCSASD, VAR.EOCSASDU, VAR.EOCDeveloperSD, VAR.EOCDeveloperSDU, VAR.ECMSASD, VAR.ECMSASDU, VAR.ECMDeveloperSD, VAR.ECMDeveloperSDU, VAR.ECSAMA, VAR.ECSASDU, VAR.ECDeveloperMA, VAR.ECDeveloperSDU, VAR.EMSAMA, VAR.EMSASDU, VAR.EMDeveloperMA, VAR.EMDeveloperSDU, VAR.EBSASD, VAR.EBSASDU, VAR.EBDeveloperSDU, VAR.STEngSDU, VAR.STAutomationEngSDU, VAR.DMLead, VAR.E2EDMSA, VAR.DMDev, VAR.DMSA, VAR.DMME, VAR.PTLeadSDU, VAR.TestLeadMA, VAR.TestLeadSDU, VAR.SITMgrMA, VAR.SITMgrSDU, VAR.SITManualSDU, VAR.SITAutomationSDU, VAR.UATMgrMA, VAR.UATsupportMA"
7,Target Solution,0.0,0,0,[1],"SA/SD ProgDir (JS8) - Program Director, MA CPM (JS7) - PMO, SDU CPM (JS7) - PMO Admin, SDU CPM (JS7) - Rollout Manager, SDU CPM (JS7) - Defect Manager/Triage, SA/SD ProgMgr (JS7) - Factory / Delivery Lead, SDU ProgMgr (JS8) - Factory / Delivery Lead, SDU CPM (JS7) - Release / Config Manager, SA/SD SolArch (JS7) - Non-functional Lead, SA/SD SolArch (JS8) - Solution Architect - DA, MA SolArch (JS7) - E2E Architecture Lead, SA/SD SolArch (JS7) - E2E  SA Order Capture UI, SDU SolArch (JS7) - Solution Architect - Integration, SA/SD SolArch (JS7) - E2E Architect - Order & Fulfillment Management, SDU SolArch (JS7) - E2E Architect - Revenue Management & Billing, SDU SolArch (JS7) - E2E Rel Assurance SA, SA/SD SolArch (JS7) - Product Manager, SA/SD SolArch (JS6) - DXP SA, SDU SolArch (JS6) - DXP SA, SA/SD IntegEngin (JS6) - DXP developer/IE, SDU IntegEngin (JS6) - DXP developer/IE, SA/SD SolArch (JS7) - EOC SA, SDU SolArch (JS7) - EOC SA, SA/SD SwDev (JS6) - EOC developer/IE, SDU SwDev (JS6) - EOC developer/IE, SA/SD SolArch (JS7) - ECM SA, SDU SolArch (JS6) - ECM SA, SA/SD SwDev (JS6) - ECM developer/IE, SDU SwDev (JS6) - ECM developer/IE, MA SolArch (JS6) - EC SA, SDU SolArch (JS6) - EC SA, MA IntegEngin (JS5) - EC developer/IE, SDU IntegEngin (JS5) - EC developer/IE, MA SolArch (JS6) - EM SA, SDU SolArch (JS6) - EM SA, MA IntegEngin (JS6) - EM developer/IE, SDU IntegEngin (JS6) - EM developer/IE, SA/SD SolArch (JS6) - EB SA, SDU SolArch (JS6) - EB SA, SDU IntegEngin (JS5) - EB developer/IE, SA/SD SolArch (JS6) - BEL SA, SDU SolArch (JS6) - BEL SA, SDU IntegEngin (JS5) - BEL developer/IE, MA SolArch (JS7) - CAF SA, SA/SD SolArch (JS7) - CAF SA, SDU SolArch (JS7) - CAF SA, MA IntegEngin (JS6) - CAF IE, SA/SD IntegEngin (JS6) - CAF IE, SDU IntegEngin (JS6) - CAF IE, SA/SD SolArch (JS6) - CBEV Software Developer, SA/SD SolArch (JS6) - CBEV Solution Integrator, SDU SwDev (JS6) - CBEV Software Developer, SDU IntegEngin (JS6) - CBEV Solution Integrator, SA/SD SolArch (JS7) - CBEV Solution Architect, SDU SolArch (JS7) - Solution Architect (Scrum Lead), SDU IntegEngin (JS4) - ST Test Engineer, SDU ITEngTest (JS5) - ST Automation Test Engineer, SDU SolArch (JS5) - RME or RTE, SDU CPM (JS7) - DM CPM, SA/SD SolArch (JS7) - DM Lead / E2E SA, SDU SwDev (JS5) - DM Developer, SDU IntegEngin (JS6) - DM Domain SA, SDU SolArch (JS6) - DM Software SA, SDU IntegEngin (JS6) - DBA, SDU SolArch (JS6) - DevOps SME, SDU SolArch (JS6) - DevOps Tool Admin, SDU SolArch (JS6) - Infra or SW Integration SA, SDU IntegEngin (JS5) - Infra System Integrator, SDU ITSysExp (JS5) - SW SME, SA/SD TechSME (JS6) - NFR SA, SDU SolArch (JS6) - NFR SI, SDU SolArch (JS6) - Performance Lead, SA/SD SolArch (JS7) - Performance SA, SDU ITEngTest (JS5) - Perf Dev/Tester, MA TestMgr (JS6) - Test lead, SDU TestMgr (JS6) - Test lead, MA TestMgr (JS6) - SIT Manager, SDU TestMgr (JS6) - SIT Manager, SDU ITEngTest (JS4) - SIT Manual Tester, SDU ITEngTest (JS5) - SIT Automation Tester, MA TestMgr (JS6) - UAT Test Manager, MA ITEngTest (JS5) - UAT Tester, SA/SD SolArch (JS7) - Agile Transformation Lead, SDU SolArch (JS6) - Agile Coach, SDU SolArch (JS7) - Security Master, SDU SolArch (JS6) - Security Master, SA/SD SolArch (JS7) - Pre-Assesment Team, SDU SolArch (JS6) - Pre-Assesment Team, PDU SolArch (JS6) - Other Support, SDU ITSysExp (JS6) - LCM Support Team, MA CPM (JS7) - Prime-Contract Mgr, MA CPM (JS7) - Prime-CPM, MA ProgMgr (JS7) - Prime-Delivery Lead, MA SolArch (JS8) - Prime-EA Lead, SA/SD SolArch (JS7) - Prime-Presales Soln Mgt, SA/SD SolArch (JS7) - Prime-E2E SA Pipeline CICD, SA/SD SolArch (JS7) - Prime-E2E SA CRM, SA/SD Consult (JS7) - Prime-Business Consultant, SA/SD SolArch (JS7) - Prime-Infra NFR, SA/SD SolArch (JS7) - Prime-Others"
13,        Delivery Management - (RTE),0.0,0,0,[1],Program Manager
16,        Pre-assesment or workshop preparation,800.0,0,6,[1],SolArch.2
25,        Solution Architect E2E - Integration or Product Owner,0.0,0,0,[1],ProgMgr.1
26,        Solution Architect E2E - Product and Order Fulfilment,0.0,0,0,[1],CPM.4
